old state road 1,old state road 2,old state road 3,old state road 3,TD 1,TD 2,TD 3,TD 4,TD intersection,dtcc 1,dtcc 2,dtcc 3,dtcc 4,target state 1,target state 2,target state 3,target state 4
0,0,1,0,0.142857143,0.428571429,0.285714286,0.142857143,0,20,19,145,-69,0,1,0,0
0,1,0,0,0.125,0.125,0.25,0.25,0.25,20,63,17,-69,0,1,0,0
0,1,0,0,0.142857143,0.142857143,0.285714286,0.285714286,0.142857143,20,203,17,-69,0,1,0,0
0,1,0,0,0.142857143,0.142857143,0.285714286,0.285714286,0.142857143,20,203,17,-69,0,0,0,0
0,0,0,0,0.125,0.25,0.25,0.25,0.125,20,59,17,-69,0,0,1,0
0,0,1,0,0.125,0.25,0,0.375,0.25,20,19,1,-69,0,0,1,0
0,0,0,0,0.142857143,0.285714286,0,0.428571429,0.142857143,20,19,1,-69,0,0,0,0
0,0,0,1,0.4,0.4,0,0.2,0,20,19,1,-97,0,0,0,1
0,0,0,1,0.5,0.5,0,0,0,20,19,1,-53,0,0,0,1
0,0,0,1,0.5,0.5,0,0,0,20,19,1,-53,0,0,0,0
0,0,0,0,0.333333333,0.5,0.166666667,0,0,20,19,253,-53,0,1,0,0
0,1,0,0,0.285714286,0,0.142857143,0.142857143,0.428571429,20,3,109,-231,0,1,0,0
0,1,0,0,0.285714286,0,0.142857143,0.142857143,0.428571429,20,3,21,-143,0,0,0,0
0,0,0,0,0.6,0,0.2,0.2,0,20,3,17,-71,1,0,0,0
1,0,0,0,0.142857143,0,0.285714286,0.142857143,0.428571429,128,3,17,-71,1,0,0,0
1,0,0,0,0.142857143,0,0.285714286,0.142857143,0.428571429,4,3,17,-71,1,0,0,0
1,0,0,0,0,0,0.333333333,0.333333333,0.333333333,4,3,17,-71,0,0,0,0
0,0,0,0,0,0,0.4,0.4,0.2,4,3,17,-71,0,0,0,0
0,0,0,0,0,0,0.4,0.4,0.2,4,3,17,-71,0,0,0,1
0,0,0,1,0,0,0.75,0,0.25,4,3,17,-50,0,0,0,1
0,0,0,0,0,0,0.8,0,0.2,4,3,17,-50,0,0,0,0
0,0,0,0,0,0.2,0.8,0,0,4,191,17,-50,0,0,1,0
0,0,1,0,0,0.25,0.25,0,0.5,4,43,81,-50,0,0,1,0
0,0,1,0,0,0.5,0,0,0.5,4,19,1,-50,0,0,1,0
0,0,1,0,0,0.333333333,0.333333333,0,0.333333333,4,19,1,-50,0,0,0,0
0,0,0,0,0,0.2,0.2,0.2,0.4,4,19,225,-156,0,1,0,0
0,1,0,0,0,0,0.333333333,0.166666667,0.5,4,3,125,-68,0,1,0,0
0,0,0,0,0,0,0.333333333,0.166666667,0.5,4,3,57,-68,0,0,0,0
0,0,0,0,0,0,0.666666667,0.166666667,0.166666667,4,3,17,-81,0,0,1,0
0,0,1,0,0,0,0.25,0.25,0.5,4,3,113,-69,0,0,1,0
0,0,1,0,0,0.2,0.2,0.2,0.4,4,207,21,-69,0,0,1,0
0,0,1,0,0,0.333333333,0,0.166666667,0.5,4,107,1,-69,0,0,1,0
0,0,1,0,0,0.333333333,0,0.166666667,0.5,4,107,1,-69,0,0,0,0
0,0,0,0,0,0.75,0,0.25,0,4,19,1,-69,0,0,0,0
0,0,0,0,0,0.75,0,0.25,0,4,19,1,-69,0,1,0,0
0,1,0,0,0,0.2,0,0.2,0.6,4,131,1,-69,0,1,0,0
0,1,0,0,0,0,0,0.333333333,0.666666667,4,3,1,-69,0,1,0,0
0,1,0,0,0.25,0,0,0.25,0.5,216,3,1,-69,0,0,0,0
0,0,0,0,0.333333333,0,0,0.333333333,0.333333333,80,3,1,-69,0,0,0,1
0,0,0,1,0.5,0,0,0,0.5,20,3,1,-53,0,0,0,1
0,0,0,0,0.5,0.25,0,0.25,0,20,87,1,-133,1,0,0,0
1,0,0,0,0.25,0.25,0,0.25,0.25,112,19,1,-69,0,1,0,0
0,1,0,0,0.5,0.25,0,0.25,0,20,235,1,-69,0,0,0,1
0,0,0,1,0.666666667,0.333333333,0,0,0,20,123,1,-53,0,0,0,1
0,0,0,0,0.5,0.25,0.25,0,0,20,19,181,-53,0,0,0,0
0,0,0,0,0.5,0.25,0.25,0,0,20,19,181,-53,1,0,0,0
1,0,0,0,0,0.2,0.4,0,0.4,4,19,17,-53,0,0,0,0
0,0,0,0,0,0.333333333,0.666666667,0,0,4,19,17,-53,0,0,1,0
0,0,1,0,0,0.4,0,0.2,0.4,4,19,1,-155,0,0,1,0
0,0,1,0,0.166666667,0.333333333,0,0.166666667,0.333333333,260,19,1,-67,0,0,0,0
0,0,0,0,0.142857143,0.285714286,0.142857143,0.142857143,0.285714286,180,19,277,-67,0,1,0,0
0,1,0,0,0.166666667,0,0.166666667,0.166666667,0.5,48,3,145,-67,0,1,0,0
0,1,0,0,0.166666667,0,0.166666667,0.166666667,0.5,48,3,145,-67,0,0,0,0
0,0,0,0,0.25,0,0.25,0.25,0.25,20,3,17,-67,0,0,0,0
0,0,0,0,0.25,0,0.25,0.25,0.25,20,3,17,-67,1,0,0,0
1,0,0,0,0,0,0.333333333,0.333333333,0.333333333,4,3,17,-67,1,0,0,0
0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,4,3,17,-67,0,0,0,0
0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,4,3,17,-67,0,0,1,0
0,0,1,0,0.166666667,0.166666667,0,0.333333333,0.333333333,304,183,1,-67,0,0,1,0
0,0,1,0,0.166666667,0.166666667,0,0.333333333,0.333333333,260,139,1,-67,0,0,0,0
0,0,0,0,0.2,0.4,0,0.4,0,136,19,1,-67,0,0,0,1
0,0,0,0,0.2,0.4,0,0.4,0,136,19,1,-67,0,0,0,1
0,0,0,1,0.25,0.75,0,0,0,20,19,1,-56,0,0,0,1
0,0,0,1,0.25,0.75,0,0,0,20,19,1,-56,0,0,0,0
0,0,0,0,0.25,0.75,0,0,0,20,19,1,-56,0,1,0,0
0,0,0,0,0.25,0.75,0,0,0,20,19,1,-56,0,1,0,0
0,1,0,0,0.333333333,0,0,0,0.666666667,20,3,1,-56,0,1,0,0
0,1,0,0,1,0,0,0,0,20,3,1,-56,0,0,0,0
0,1,0,0,1,0,0,0,0,20,3,1,-56,1,0,0,0
1,0,0,0,0.25,0,0.25,0.25,0.25,252,3,305,-213,1,0,0,0
1,0,0,0,0.25,0,0.25,0.25,0.25,184,3,237,-145,0,0,0,1
1,0,0,0,0.25,0,0.25,0.25,0.25,184,3,237,-145,0,0,0,1
0,0,0,1,0.2,0,0.6,0.2,0,20,3,41,-213,0,0,0,1
0,0,0,0,0.166666667,0,0.5,0.166666667,0.166666667,20,3,17,-65,1,0,0,0
0,0,0,0,0.166666667,0,0.5,0.166666667,0.166666667,20,3,17,-65,0,0,1,0
0,0,1,0,0.333333333,0,0,0.333333333,0.333333333,20,3,1,-65,0,0,0,0
0,0,0,0,0.25,0.25,0,0.25,0.25,20,131,1,-65,1,0,0,0
1,0,0,0,0.166666667,0.333333333,0,0.166666667,0.333333333,316,19,1,-65,1,0,0,0
1,0,0,0,0.142857143,0.285714286,0,0.285714286,0.285714286,276,19,1,-65,0,1,0,0
0,1,0,0,0.2,0.2,0,0.4,0.2,160,27,1,-65,0,1,0,0
0,1,0,0,0.2,0,0,0.4,0.4,36,3,1,-65,0,0,0,0
0,1,0,0,0.2,0,0,0.4,0.4,36,3,1,-65,0,0,0,0
0,0,0,0,0.142857143,0.142857143,0.285714286,0.428571429,0,20,183,205,-65,0,0,0,0
0,0,0,0,0.142857143,0.142857143,0.285714286,0.428571429,0,20,183,205,-65,0,0,0,1
0,0,0,1,0.125,0.375,0.25,0,0.25,20,19,17,-52,0,0,0,1
0,0,0,1,0.166666667,0.5,0.333333333,0,0,20,19,17,-52,0,1,0,0
0,1,0,0,0.166666667,0.166666667,0.333333333,0,0.333333333,20,35,17,-52,0,1,0,0
0,1,0,0,0.2,0,0.4,0,0.4,20,3,17,-52,0,0,0,0
0,0,0,0,0.25,0.25,0.5,0,0,20,163,17,-52,0,0,1,0
0,0,1,0,0.4,0.2,0,0,0.4,20,47,1,-52,0,0,1,0
0,0,1,0,0.5,0.25,0,0,0.25,20,19,1,-52,0,0,0,0
0,0,0,0,0.5,0.166666667,0,0.166666667,0.166666667,20,19,1,-213,1,0,0,0
1,0,0,0,0.166666667,0.166666667,0,0.166666667,0.5,192,19,1,-117,1,0,0,0
1,0,0,0,0.166666667,0.166666667,0,0.333333333,0.333333333,132,19,1,-65,1,0,0,0
1,0,0,0,0.2,0.2,0,0.4,0.2,36,19,1,-65,1,0,0,0
1,0,0,0,0,0.25,0,0.5,0.25,4,19,1,-65,0,0,0,0
0,0,0,0,0,0.2,0,0.4,0.4,4,19,1,-65,0,0,0,0
0,0,0,0,0,0.4,0,0.4,0.2,4,19,1,-65,0,0,0,1
0,0,0,1,0,1,0,0,0,4,19,1,-53,0,0,0,1
0,0,0,1,0,0.666666667,0,0,0.333333333,4,19,1,-53,0,1,0,0
0,1,0,0,0,0,0,0,1,4,3,1,-53,0,0,0,0
0,0,0,0,0,0,0,1,0,4,3,1,-109,0,0,0,1
0,0,0,1,0,0.333333333,0,0,0.666666667,4,191,1,-56,0,0,0,1
0,0,0,1,0,0.333333333,0,0,0.666666667,4,191,1,-56,0,0,0,1
0,0,0,1,0,0.4,0.2,0,0.4,4,107,281,-56,0,0,0,0
0,0,0,0,0,0.4,0.4,0,0.2,4,19,161,-56,0,1,0,0
0,1,0,0,0,0,0.5,0,0.5,4,3,17,-56,0,0,0,0
0,0,0,0,0,0,0.666666667,0.333333333,0,4,3,17,-97,0,0,1,0
0,0,1,0,0,0,0.25,0.5,0.25,4,3,269,-69,0,0,0,0
0,0,0,0,0,0,0.25,0.5,0.25,4,3,177,-69,0,0,0,0
0,0,0,0,0,0,0.333333333,0.666666667,0,4,3,121,-69,0,0,0,1
0,0,0,1,0,0,0.5,0,0.5,4,3,17,-53,0,0,0,1
0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,4,3,17,-181,0,0,0,1
0,0,0,1,0,0,0.333333333,0.666666667,0,4,3,17,-85,0,0,0,1
0,0,0,1,0,0.25,0.25,0.5,0,4,95,17,-72,0,0,0,1
0,0,0,1,0,0.666666667,0.333333333,0,0,4,19,17,-53,0,0,0,0
0,0,0,0,0,0.4,0.4,0.2,0,4,19,17,-204,0,1,0,0
0,1,0,0,0,0,0.6,0.2,0.2,4,3,17,-68,0,1,0,0
0,1,0,0,0,0,0.75,0.25,0,4,3,17,-68,0,0,1,0
